,points_range,deslen,price_range,variety,province
290,90-94,357,20-29,Shiraz,Western Australia
291,80-84,311,40-49,Shiraz,Victoria
292,85-89,311,60-79,Pinot Noir,Tasmania
293,90-94,296,80-99,Shiraz,Victoria
294,80-84,207,10-19,White Blend,South Australia
295,90-94,241,60-79,Chardonnay,Western Australia
296,85-89,196,10-19,Pinot Grigio,South Australia
297,85-89,132,10-19,Shiraz,South Australia
298,85-89,226,10-19,Cabernet Sauvignon,Australia Other
299,90-94,257,30-39,Riesling,South Australia
300,90-94,377,60-79,Grenache,South Australia
301,90-94,384,60-79,Grenache,South Australia
302,90-94,309,100+,Roussanne,Victoria
303,90-94,273,10-19,Shiraz-Grenache,South Australia
304,90-94,262,40-49,Pinot Noir,Victoria
305,90-94,324,60-79,G-S-M,South Australia
306,90-94,274,60-79,Shiraz,Victoria
307,85-89,265,<10,Red Blend,Western Australia
308,80-84,175,20-29,Roussanne,South Australia
309,80-84,242,10-19,White Blend,South Australia
310,95-99,457,100+,Syrah,South Australia
311,90-94,329,80-99,Chardonnay,Western Australia
312,90-94,283,30-39,Chardonnay,Western Australia
313,90-94,288,30-39,Sauvignon Blanc-Semillon,Western Australia
314,85-89,269,20-29,G-S-M,South Australia
315,90-94,237,30-39,Shiraz,Australia Other
316,90-94,315,50-59,Cabernet Sauvignon-Shiraz,South Australia
317,90-94,243,60-79,Cabernet Sauvignon,South Australia
318,85-89,211,10-19,Shiraz,Western Australia
319,85-89,230,20-29,Riesling,South Australia
320,85-89,224,20-29,Shiraz,Western Australia
321,90-94,262,60-79,Shiraz,South Australia
322,85-89,244,10-19,Cabernet Sauvignon,South Australia
323,85-89,142,80-99,Shiraz,South Australia
324,85-89,265,10-19,Rosé,South Australia
325,90-94,262,50-59,Cabernet Sauvignon,South Australia
326,85-89,286,20-29,Cabernet Sauvignon,South Australia
327,85-89,275,20-29,Bordeaux-style Red Blend,Western Australia
328,85-89,314,10-19,Cabernet Sauvignon,South Australia
329,90-94,239,20-29,Cabernet Sauvignon-Merlot-Shiraz,South Australia
330,85-89,200,10-19,Pinot Grigio,South Australia
331,85-89,249,30-39,Pinot Noir,South Australia
332,90-94,179,40-49,Petite Sirah,South Australia
333,90-94,241,20-29,Red Blend,South Australia
334,85-89,212,10-19,Chardonnay,South Australia
335,90-94,311,100+,Shiraz,South Australia
336,90-94,350,100+,Shiraz,South Australia
337,85-89,146,10-19,Shiraz,South Australia
338,90-94,312,50-59,Chardonnay,Victoria
339,85-89,257,10-19,Cabernet Sauvignon,Western Australia
340,85-89,242,20-29,Cabernet Sauvignon,Western Australia
341,85-89,258,10-19,Cabernet Sauvignon,South Australia
342,85-89,305,10-19,Red Blend,South Australia
343,85-89,284,20-29,G-S-M,South Australia
344,85-89,228,20-29,G-S-M,South Australia
345,85-89,261,10-19,Rhône-style White Blend,South Australia
346,85-89,344,20-29,Grenache,South Australia
347,85-89,219,10-19,Chardonnay,South Australia
348,85-89,265,10-19,Chardonnay,South Australia
349,90-94,311,30-39,Marsanne,Victoria
350,80-84,120,10-19,Pinot Noir,South Australia
351,85-89,201,10-19,Chardonnay,Australia Other
352,85-89,325,10-19,Rosé,Western Australia
353,90-94,295,20-29,Shiraz,South Australia
354,90-94,394,80-99,Bordeaux-style Red Blend,Western Australia
355,90-94,283,20-29,Bordeaux-style Red Blend,South Australia
356,90-94,296,10-19,Cabernet Sauvignon,South Australia
357,90-94,271,30-39,Cabernet Sauvignon,South Australia
358,90-94,284,10-19,Pinot Gris,Victoria
359,80-84,153,40-49,Cabernet Sauvignon-Shiraz,Victoria
360,80-84,106,<10,Chardonnay,Australia Other
361,90-94,241,20-29,Shiraz,Victoria
362,90-94,267,100+,Shiraz,South Australia
363,90-94,324,100+,Shiraz,South Australia
364,85-89,278,20-29,Chardonnay,Victoria
365,85-89,166,10-19,Riesling,South Australia
366,90-94,405,60-79,Red Blend,South Australia
367,90-94,381,50-59,Cabernet Sauvignon-Shiraz,South Australia
368,95-99,390,100+,Shiraz,South Australia
369,95-99,336,100+,Shiraz,South Australia
370,85-89,265,20-29,Sparkling Blend,Tasmania
371,90-94,241,20-29,Riesling,Western Australia
372,90-94,381,100+,Chardonnay,Western Australia
373,85-89,268,10-19,Riesling,South Australia
374,90-94,293,10-19,Viognier,South Australia
375,90-94,281,60-79,Cabernet Sauvignon,Western Australia
376,90-94,256,40-49,Riesling,South Australia
377,90-94,250,20-29,Chardonnay,South Australia
378,90-94,301,100+,Cabernet Sauvignon,South Australia
379,90-94,342,40-49,Cabernet Sauvignon,South Australia
380,90-94,325,50-59,Cabernet Sauvignon,South Australia
381,90-94,312,50-59,Cabernet Sauvignon,South Australia
382,90-94,205,40-49,Shiraz,South Australia
383,90-94,271,30-39,Shiraz-Viognier,South Australia
384,90-94,228,60-79,Shiraz,South Australia
385,90-94,256,30-39,Shiraz-Viognier,South Australia
386,90-94,200,10-19,Shiraz,Victoria
387,85-89,268,40-49,Sémillon,South Australia
388,90-94,325,20-29,Shiraz,Western Australia
389,90-94,282,40-49,Shiraz,South Australia
390,90-94,372,50-59,Cabernet Sauvignon,South Australia
391,90-94,233,60-79,Shiraz,Victoria
392,90-94,292,20-29,Shiraz,Victoria
393,90-94,308,100+,Shiraz,New South Wales
394,85-89,192,20-29,Riesling,Western Australia
395,85-89,229,10-19,Shiraz,Australia Other
396,85-89,251,10-19,Sauvignon Blanc,South Australia
397,85-89,162,10-19,Pinot Grigio,Australia Other
398,85-89,218,20-29,Shiraz,South Australia
399,90-94,201,20-29,Riesling,South Australia
400,90-94,292,60-79,Cabernet Sauvignon,Western Australia
401,90-94,371,20-29,Cabernet Sauvignon,South Australia
402,90-94,196,20-29,Sémillon,South Australia
403,90-94,243,20-29,Cabernet Sauvignon,South Australia
404,90-94,248,80-99,Shiraz,Victoria
405,80-84,150,10-19,Shiraz,Australia Other
406,90-94,258,40-49,Shiraz,South Australia
407,90-94,288,30-39,Shiraz,South Australia
408,90-94,268,40-49,Cabernet Sauvignon,South Australia
409,90-94,253,20-29,Shiraz-Malbec,Victoria
410,85-89,205,20-29,Sparkling Blend,Australia Other
411,90-94,216,40-49,Chardonnay,Tasmania
412,85-89,198,10-19,Shiraz-Cabernet Sauvignon,Australia Other
413,90-94,302,40-49,Chardonnay,Victoria
414,85-89,286,10-19,Shiraz,South Australia
415,85-89,228,30-39,Chardonnay,South Australia
416,85-89,177,10-19,Chardonnay,Western Australia
417,85-89,285,10-19,Chardonnay,Western Australia
418,85-89,273,20-29,Riesling,Western Australia
419,85-89,306,20-29,Shiraz-Viognier,South Australia
420,90-94,247,10-19,Shiraz,South Australia
421,90-94,342,40-49,Riesling,South Australia
422,85-89,285,40-49,Chardonnay,Victoria
423,90-94,257,30-39,Riesling,South Australia
424,90-94,247,20-29,G-S-M,South Australia
425,85-89,257,80-99,Grenache,South Australia
426,85-89,333,<10,G-S-M,South Australia
427,85-89,224,10-19,G-S-M,South Australia
428,90-94,376,100+,Shiraz,South Australia
429,90-94,273,100+,Shiraz,South Australia
430,95-99,313,100+,Cabernet Sauvignon,South Australia
431,95-99,305,60-79,Shiraz,South Australia
432,90-94,251,100+,Muscadelle,Victoria
433,90-94,216,40-49,Chardonnay,Tasmania
434,90-94,292,60-79,Shiraz-Grenache,South Australia
435,85-89,223,20-29,Shiraz,South Australia
436,85-89,210,60-79,Shiraz-Cabernet,South Australia
437,90-94,194,40-49,Shiraz,South Australia
438,85-89,197,10-19,Shiraz,South Australia
439,90-94,172,100+,Shiraz,South Australia
440,90-94,237,40-49,Pinot Noir,Victoria
441,90-94,238,40-49,Shiraz,South Australia
442,90-94,305,50-59,Cabernet Sauvignon,Western Australia
443,80-84,166,10-19,Champagne Blend,Australia Other
444,80-84,179,10-19,Rosé,Australia Other
445,80-84,288,60-79,Pinot Noir,Victoria
446,85-89,176,20-29,Chardonnay,South Australia
447,90-94,224,30-39,Cabernet Sauvignon,Western Australia
448,90-94,280,20-29,Shiraz-Grenache,South Australia
449,90-94,300,20-29,Sauvignon Blanc-Semillon,Western Australia
450,85-89,180,10-19,Chardonnay,South Australia
451,85-89,219,20-29,Sparkling Blend,Victoria
452,85-89,214,10-19,Sparkling Blend,Australia Other
453,85-89,208,10-19,Pinot Noir,Victoria
454,90-94,301,30-39,Cabernet Sauvignon,South Australia
455,90-94,294,40-49,Shiraz,South Australia
456,90-94,262,10-19,Cabernet Sauvignon,New South Wales
457,90-94,270,20-29,Cabernet Sauvignon,South Australia
458,90-94,244,40-49,Shiraz,South Australia
459,85-89,297,10-19,Rhône-style Red Blend,South Australia
460,85-89,282,30-39,Shiraz,Western Australia
461,90-94,271,30-39,Cabernet Sauvignon,South Australia
462,85-89,389,100+,Cabernet Sauvignon,South Australia
463,85-89,233,<10,Chardonnay,Australia Other
464,90-94,293,100+,Grenache,South Australia
465,85-89,317,20-29,Shiraz,South Australia
466,80-84,249,10-19,Petite Sirah,Australia Other
467,85-89,165,10-19,Sauvignon Blanc,Victoria
468,85-89,224,20-29,Shiraz-Cabernet Sauvignon,Victoria
469,85-89,273,<10,Rhône-style Red Blend,South Australia
470,85-89,315,10-19,Marsanne,Victoria
471,85-89,190,10-19,Chardonnay,Australia Other
472,85-89,169,10-19,Chardonnay,Australia Other
473,85-89,160,10-19,Chardonnay,South Australia
474,90-94,299,10-19,Viognier,South Australia
475,90-94,239,20-29,Cabernet Sauvignon-Merlot-Shiraz,South Australia
476,85-89,245,10-19,Shiraz,South Australia
477,85-89,164,20-29,Pinot Noir,Western Australia
478,85-89,283,20-29,Grenache-Shiraz,South Australia
479,90-94,270,100+,Syrah,South Australia
480,85-89,274,60-79,Shiraz,South Australia
481,90-94,343,60-79,Chardonnay,South Australia
482,90-94,231,20-29,Grenache,South Australia
483,80-84,183,<10,Red Blend,Australia Other
484,80-84,213,20-29,Shiraz,Victoria
485,80-84,232,20-29,Shiraz,New South Wales
486,80-84,202,10-19,Pinot Noir,Australia Other
487,85-89,202,30-39,Riesling,Victoria
488,80-84,161,10-19,Sauvignon Blanc,South Australia
489,85-89,249,10-19,Chardonnay,South Australia
490,85-89,198,10-19,Chardonnay,Australia Other
491,85-89,159,10-19,Grenache,South Australia
492,85-89,217,<10,Shiraz,South Australia
493,90-94,336,40-49,Shiraz,South Australia
494,90-94,189,10-19,Shiraz,South Australia
495,85-89,304,10-19,Red Blend,South Australia
496,90-94,228,80-99,Shiraz,South Australia
497,85-89,348,20-29,Riesling,South Australia
498,85-89,198,10-19,Shiraz,Western Australia
499,90-94,275,50-59,Cabernet Sauvignon,South Australia
500,85-89,199,10-19,Rosé,Victoria
501,90-94,289,60-79,Syrah,South Australia
502,90-94,381,80-99,Shiraz,Victoria
503,90-94,251,30-39,Riesling,Victoria
504,90-94,277,30-39,Chardonnay,Western Australia
505,85-89,28,20-29,Sauvignon Blanc,New South Wales
506,90-94,239,10-19,Shiraz,South Australia
