,points_range,deslen,price_range,variety,province
465,80-84,168,10-19,Sauvignon Blanc,Mendoza Province
466,80-84,173,10-19,Chardonnay,Mendoza Province
467,80-84,175,10-19,Malbec,Mendoza Province
468,80-84,202,10-19,Malbec,Other
469,80-84,227,10-19,Sparkling Blend,Mendoza Province
470,80-84,259,20-29,Red Blend,Other
471,85-89,280,20-29,Cabernet Sauvignon,Mendoza Province
472,85-89,213,20-29,Malbec,Mendoza Province
473,85-89,227,20-29,Sauvignon Blanc,Other
474,85-89,282,30-39,Chardonnay,Mendoza Province
475,85-89,232,10-19,Malbec,Mendoza Province
476,85-89,233,10-19,Malbec,Mendoza Province
477,85-89,234,40-49,Malbec,Mendoza Province
478,85-89,330,20-29,Bordeaux-style Red Blend,Mendoza Province
479,85-89,289,10-19,Merlot,Mendoza Province
480,85-89,215,10-19,Pinot Noir,Mendoza Province
481,85-89,246,10-19,Cabernet Sauvignon,Mendoza Province
482,90-94,354,10-19,Malbec,Mendoza Province
483,90-94,340,20-29,Red Blend,Mendoza Province
484,90-94,273,10-19,Malbec-Cabernet Sauvignon,Mendoza Province
485,80-84,229,10-19,Malbec,Mendoza Province
486,80-84,207,10-19,Pinot Noir,Mendoza Province
487,80-84,219,20-29,Malbec,Mendoza Province
488,80-84,232,10-19,Malbec,Mendoza Province
489,85-89,226,10-19,Rosado,Mendoza Province
490,85-89,248,10-19,Malbec,Mendoza Province
491,85-89,297,100+,Chardonnay,Mendoza Province
492,85-89,244,10-19,Pinot Noir,Mendoza Province
493,80-84,184,10-19,Malbec,Mendoza Province
494,85-89,252,20-29,Malbec,Other
495,85-89,233,20-29,Chardonnay,Mendoza Province
496,90-94,296,20-29,Red Blend,Mendoza Province
497,90-94,300,100+,Malbec,Mendoza Province
498,90-94,321,100+,Malbec,Mendoza Province
499,85-89,279,10-19,Malbec,Mendoza Province
500,85-89,285,20-29,Pinot Noir,Other
501,90-94,259,40-49,Malbec,Mendoza Province
502,90-94,297,30-39,Malbec,Mendoza Province
503,90-94,269,30-39,Red Blend,Mendoza Province
504,90-94,276,20-29,Bordeaux-style Red Blend,Mendoza Province
505,90-94,242,20-29,Malbec,Mendoza Province
506,85-89,256,30-39,Bordeaux-style Red Blend,Mendoza Province
507,90-94,270,20-29,Cabernet Franc,Mendoza Province
508,90-94,325,30-39,Malbec,Mendoza Province
